name,label
#BetvaktiHeryerde,bet
#BetvaktindeNBAVakti,bet
#BetçilerDefolunGidin,bet
#BewareTheyAreEverywhere,misc
#BeykozdaKaşıtoğlu,politics_saadet
#BeyoğluGönüllüsüSerhadUslan,misc
#BeşNumaraKafe,misc
#BeşiktaşlıÖmerÖzkul,misc
#BeşiktaşıCHPSoydu,politics_antichp
#BeştepeSözlÖğretmenAilesiz,appeal_meb
#BiRamazanDahaBitti,misc
#BiYeredeYaz,misc
#BigFenerdenForma,misc
#BigMamasMalatyaAçıldı,misc
#BilalveUğurYoutubeda,misc
#BilfenMagdurlari,misc
#BilgeBaşkanEsenlerde,politics_saadet
#BilgeÇocuklarİsfambulda,ad_other
#BilimAllahaDavetEdiyor,cult_oktar
#Bilişime2000AtamaMeb,appeal_atama_meb
#BinTLBonusBahseGel,bet
#BinaliADAMgerisiYALAN,politics_akp
#BinaliBeyElazığsporunKapandı,politics_akp
#BinaliBeyİnşMühAlımı,politics_akp
#BinaliYıldırımATVde,politics_akp
#BinaliYıldırımDemek,politics_akp
#BinaliYıldırımFOXta,politics_akp
#BinaliYıldırımMalatyada,politics_akp
#BinaliYıldırımSivasta,politics_akp
#BinaliYıldırımaKumpas,politics_akp
#BingölBetÇevrimsiz,bet
#BirAileGulsun,misc
#BirAşkHikayesiTunceli,misc
#BirCasusVarsalngilizDDdir,cult_oktar
#BirChpKlasigi,politics_chp
#BirDahaYaşarBahçeci,politics_akp
#BirEzgiHikayesi,misc
#BirFikrimVar,misc
#BirKahramanVardı,misc
#BirKalpMama,misc
#BirKezOlsunTepkiKoyun,misc
#BirKüçükAkbaba,misc
#BirKızNasılTavlanır,misc
#BirKızınEnMutluOlduğuAn,misc
#BirKızınHoşlanmadığıŞeyler,misc
#BirLitreGözyaşıFİNAL,misc
#BirNedenimVar,misc
#BirOylaBaşlarSeçim,politics
#BirSevdadırKeçiören,politics
#BirYemekDaveti12YılCeza,cult_tevhid
#BirZamanlarAşk,misc
#BirazdaSenAğla,misc
#BirdenBire,misc
#BirgülKeslerÇokTatlısın,misc
#BirlesikDunyaDevleti,misc
#BirlikteYapalım,misc
#BirliktenKuvvetDoğar,misc
#BirlikteyizHaydarBaşla,politics
#BirİstanbulSavunması,politics_chp
#Bismillahirrahmanirrahim,misc
#BitlisKilerleGururDuyuyor,politics_akp
#BitmeyenAşklaKonya,politics_akp
#BitmeyenTatilOlsun,misc
#BitmeyenYolculuk,politics_akp
#BitsinArtıkBuHasret,misc
#BizBetPoundsluyuz,bet
#BizBüyükBirAileyiz,politics_akp
#BizHerkesiSeviyoruz,politics_akp
#BizIŞİDDeğiliz,cult_tevhid
#BizKardeşiz,politics_akp
#BizKaçKişiyiz,misc
#BizManisayız,misc
#BizMilliyizFetöDarbeci,cult_oktar
#BizMilliyizFetöKahpedir,cult_oktar
#BizTürkiyeyizYaSiz,politics_akp
#BizYaparızOnlarYakar,politics_akp
#BizYaparız,politics_akp
#Bizbireksiğiz,misc
#BizeHasekiBaşkanLazım,politics_akp
#BizeHerSevdadanGeriyeKalan,misc
#BizeHerYerAnkara,politics_akp
#BizeHerYerVatanToprağıdır,misc
#BiziBizdenTanıyın,misc
#BiziKimseAyıramaz,misc
